tier,attribution_technical,CLV_technical
1,bing,-5.983283333333333
1,display,25.911100000000005
1,facebook,-9.134901129943499
1,search,-263.5336813953488
2,bing,49.02221111111112
2,display,35.03911904761905
2,facebook,34.1151287537158
2,search,28.41942484166767
2,youtube,27.911100000000005
3,bing,13.570877777777783
3,display,31.537117857142864
3,facebook,16.606617342789303
3,search,33.09008351210403
3,youtube,30.20578571428572
4,bing,28.545986274509808
4,display,35.49768461538462
4,facebook,25.571283367791118
4,search,19.997834188659642
4,youtube,-14.456049999999996
5,bing,-15.304650943396224
5,display,21.571109677419358
5,facebook,15.821982272595175
5,search,17.08174437599137
5,youtube,10.085117063492065
6,bing,-13.731025862068963
6,display,18.121846875
6,facebook,16.820003382145572
6,search,1.3010972483048788
6,youtube,-0.4358833333333314
7,bing,-4.345284590792841
7,display,18.619896290491116
7,facebook,31.841090177843025
7,search,-5.669399135146257
7,youtube,3.8002666072489615
8,bing,-0.5127401769785181
8,display,18.798532827424943
8,facebook,18.704314812294104
8,search,-27.704931527890057
8,youtube,6.599208954754923
